rule,antecedent,consequent,support,confidence,lift,support_count_xy,support_count_x,support_count_y
i25 i37 i71 → i72,i25 i37 i71,i72,0.004133,0.449275,1.884796,31,69,1788
i116 i65 → i72,i116 i65,i72,0.002933,0.448980,1.883555,22,49,1788
i100 i81 → i72,i100 i81,i72,0.010265,0.447674,1.878079,77,172,1788
i49 i65 → i72,i49 i65,i72,0.004533,0.447368,1.876796,34,76,1788
i51 i55 → i72,i51 i55,i72,0.005066,0.447059,1.875497,38,85,1788
i71 i97 → i72,i71 i97,i72,0.007866,0.446970,1.875123,59,132,1788
i4 i71 → i72,i4 i71,i72,0.003333,0.446429,1.872853,25,56,1788
i100 i108 → i72,i100 i108,i72,0.009332,0.445860,1.870467,70,157,1788
i15 i48 → i72,i15 i48,i72,0.003200,0.444444,1.864529,24,54,1788
i15 i55 → i72,i15 i55,i72,0.005333,0.444444,1.864529,40,90,1788
i100 i71 → i72,i100 i71,i72,0.015731,0.443609,1.861024,118,266,1788
i100 i116 → i72,i100 i116,i72,0.006266,0.443396,1.860131,47,106,1788
i55 i97 → i72,i55 i97,i72,0.005066,0.441860,1.853689,38,86,1788
i25 i59 → i72,i25 i59,i72,0.003999,0.441176,1.850819,30,68,1788
i100 i43 i71 → i72,i100 i43 i71,i72,0.002800,0.437500,1.835396,21,48,1788
i100 i55 i59 → i72,i100 i55 i59,i72,0.002800,0.437500,1.835396,21,48,1788
i100 i48 → i72,i100 i48,i72,0.006799,0.435897,1.828673,51,117,1788
i25 i71 → i72,i25 i71,i72,0.013998,0.435685,1.827780,105,241,1788
i37 i92 → i72,i37 i92,i72,0.003600,0.435484,1.826938,27,62,1788
i100 i55 → i72,i100 i55,i72,0.017064,0.435374,1.826477,128,294,1788
i43 i81 → i72,i43 i81,i72,0.003999,0.434783,1.823996,30,69,1788
i45 i71 → i72,i45 i71,i72,0.003999,0.434783,1.823996,30,69,1788
i100 i25 i55 → i72,i100 i25 i55,i72,0.003999,0.434783,1.823996,30,69,1788
i25 i4 → i72,i25 i4,i72,0.003066,0.433962,1.820554,23,53,1788
i55 i92 → i72,i55 i92,i72,0.003866,0.432836,1.815829,29,67,1788
i100 i37 i55 → i72,i100 i37 i55,i72,0.003866,0.432836,1.815829,29,67,1788
i81 i82 → i72,i81 i82,i72,0.004666,0.432099,1.812736,35,81,1788
i49 i97 → i72,i49 i97,i72,0.007199,0.432000,1.812322,54,125,1788
i100 i46 → i72,i100 i46,i72,0.002933,0.431373,1.809690,22,51,1788
i100 i44 → i72,i100 i44,i72,0.003333,0.431034,1.808272,25,58,1788
i60 i71 → i72,i60 i71,i72,0.003333,0.431034,1.808272,25,58,1788
i100 i61 → i72,i100 i61,i72,0.003733,0.430769,1.807159,28,65,1788
i100 i49 → i72,i100 i49,i72,0.011998,0.430622,1.806541,90,209,1788
i82 i97 → i72,i82 i97,i72,0.004533,0.430380,1.805525,34,79,1788
i100 i25 i37 → i72,i100 i25 i37,i72,0.004533,0.430380,1.805525,34,79,1788
i48 i71 → i72,i48 i71,i72,0.006133,0.429907,1.803540,46,107,1788
i51 i59 → i72,i51 i59,i72,0.002800,0.428571,1.797939,21,49,1788
i116 i71 → i72,i116 i71,i72,0.005066,0.426966,1.791205,38,89,1788
i54 i81 → i72,i54 i81,i72,0.004266,0.426667,1.789948,32,75,1788
i48 i82 → i72,i48 i82,i72,0.003866,0.426471,1.789125,29,68,1788
i17 i55 → i72,i17 i55,i72,0.003466,0.426230,1.788114,26,61,1788
i106 i54 → i72,i106 i54,i72,0.002666,0.425532,1.785187,20,47,1788
i25 i57 → i72,i25 i57,i72,0.002666,0.425532,1.785187,20,47,1788
i37 i59 → i72,i37 i59,i72,0.005333,0.425532,1.785187,40,94,1788
i25 i92 → i72,i25 i92,i72,0.004533,0.425000,1.782956,34,80,1788
i25 i49 → i72,i25 i49,i72,0.009732,0.424419,1.780517,73,172,1788
i37 i71 → i72,i37 i71,i72,0.013065,0.424242,1.779778,98,231,1788
i110 i17 → i72,i110 i17,i72,0.002933,0.423077,1.774888,22,52,1788
i17 i65 → i72,i17 i65,i72,0.002933,0.423077,1.774888,22,52,1788
i25 i45 → i72,i25 i45,i72,0.003999,0.422535,1.772616,30,71,1788
i25 i97 → i72,i25 i97,i72,0.007599,0.422222,1.771303,57,135,1788
