itemset,support_count,support
i54 i76,27,0.003600
i54 i8,22,0.002933
i54 i80,31,0.004133
i54 i81,75,0.009999
i54 i82,123,0.016398
i54 i83,20,0.002666
i54 i85,39,0.005199
i54 i88,22,0.002933
i54 i89,35,0.004666
i54 i90,25,0.003333
i54 i92,44,0.005866
i54 i97,86,0.011465
i54 i99,53,0.007066
i55 i57,37,0.004933
i55 i59,120,0.015998
i55 i60,51,0.006799
i55 i61,29,0.003866
i55 i63,25,0.003333
i55 i64,20,0.002666
i55 i65,72,0.009599
i55 i69,24,0.003200
i55 i71,165,0.021997
i55 i72,307,0.040928
i55 i80,29,0.003866
i55 i81,106,0.014131
i55 i82,109,0.014531
i55 i83,27,0.003600
i55 i85,49,0.006532
i55 i88,27,0.003600
i55 i89,36,0.004799
i55 i90,33,0.004399
i55 i92,67,0.008932
i55 i97,86,0.011465
i55 i99,73,0.009732
i56 i72,37,0.004933
i57 i65,22,0.002933
i57 i71,37,0.004933
i57 i72,69,0.009199
i57 i81,27,0.003600
i57 i82,34,0.004533
i57 i97,20,0.002666
i59 i60,24,0.003200
i59 i65,44,0.005866
i59 i71,69,0.009199
i59 i72,128,0.017064
i59 i81,38,0.005066
i59 i82,55,0.007332
i59 i90,22,0.002933
i59 i92,29,0.003866
i59 i97,53,0.007066
i59 i99,27,0.003600
i6 i72,23,0.003066
i60 i65,30,0.003999
i60 i71,58,0.007732
i60 i72,113,0.015065
i60 i81,36,0.004799
i60 i82,50,0.006666
i60 i92,26,0.003466
i60 i97,33,0.004399
i60 i99,24,0.003200
i61 i71,33,0.004399
i61 i72,69,0.009199
i61 i81,23,0.003066
i61 i82,32,0.004266
i63 i71,30,0.003999
i63 i72,55,0.007332
i63 i81,24,0.003200
i63 i82,26,0.003466
i64 i71,26,0.003466
i64 i72,47,0.006266
i64 i82,41,0.005466
i65 i71,99,0.013198
i65 i72,180,0.023997
i65 i80,20,0.002666
i65 i81,51,0.006799
i65 i82,71,0.009465
i65 i85,21,0.002800
i65 i92,29,0.003866
i65 i97,47,0.006266
i65 i99,43,0.005733
i66 i72,28,0.003733
i68 i72,22,0.002933
i69 i71,41,0.005466
i69 i72,58,0.007732
i69 i97,20,0.002666
i7 i72,29,0.003866
i70 i72,21,0.002800
i71 i72,360,0.047994
i71 i73,24,0.003200
i71 i75,23,0.003066
i71 i78,20,0.002666
i71 i8,32,0.004266
i71 i80,31,0.004133
i71 i81,128,0.017064
i71 i82,124,0.016531
i71 i83,29,0.003866
i71 i85,38,0.005066
i71 i88,22,0.002933
i71 i89,30,0.003999
i71 i90,21,0.002800
i71 i92,73,0.009732
i71 i97,132,0.017598
i71 i99,114,0.015198
i72 i73,44,0.005866
i72 i75,33,0.004399
i72 i76,22,0.002933
i72 i78,38,0.005066
i72 i8,40,0.005333
i72 i80,55,0.007332
i72 i81,207,0.027596
i72 i82,253,0.033729
i72 i83,35,0.004666
i72 i85,62,0.008266
i72 i88,58,0.007732
i72 i89,82,0.010932
i72 i9,27,0.003600
i72 i90,58,0.007732
i72 i92,128,0.017064
i72 i97,177,0.023597
i72 i99,173,0.023064
i76 i84,20,0.002666
i80 i81,21,0.002800
i80 i82,28,0.003733
i80 i97,26,0.003466
i81 i82,81,0.010799
i81 i85,24,0.003200
i81 i92,43,0.005733
i81 i97,61,0.008132
i81 i99,67,0.008932
i82 i83,20,0.002666
i82 i85,36,0.004799
i82 i89,26,0.003466
i82 i92,32,0.004266
i82 i97,79,0.010532
i82 i99,51,0.006799
i83 i97,25,0.003333
i84 i97,38,0.005066
i85 i97,26,0.003466
i92 i97,35,0.004666
i92 i99,24,0.003200
i97 i99,42,0.005599
